Postcode,SA4,Relevance
2849,Central West,1.0
2850,Central West,0.9986507
2850,Far West and Orana,0.0006853
2850,Hunter Valley exc Newcastle,0.000664
2852,Central West,0.9965597
2852,Far West and Orana,0.0034403
2864,Central West,1.0
2865,Central West,1.0
2866,Central West,0.9232072
2866,Far West and Orana,0.0767928
2867,Central West,0.8947584
2867,Far West and Orana,0.1052416
2868,Central West,0.0396506
2868,Far West and Orana,0.9603494
2869,Central West,0.7786982
2869,Far West and Orana,0.2213018
2870,Central West,1.0
2871,Central West,1.0
2873,Central West,1.0
2874,Central West,1.0
2875,Central West,1.0
2876,Central West,1.0
